movie_title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
Maleficent: Mistress of Evil,"$491,730,089.00","$113,929,605.00",23.20%,"$377,800,484.00",76.80%
War for the Planet of the Apes,"$490,719,763.00","$146,880,162.00",29.90%,"$343,839,601.00",70.10%
Teenage Mutant Ninja Turtles,"$485,004,754.00","$191,204,754.00",39.40%,"$293,800,000.00",60.60%
Rio,"$483,866,518.00","$143,619,809.00",29.70%,"$340,246,709.00",70.30%
Rise of the Planet of the Apes,"$481,800,873.00","$176,760,185.00",36.70%,"$305,040,688.00",63.30%
Hotel Transylvania 2,"$474,800,000.00","$169,700,110.00",35.70%,"$305,099,890.00",64.30%
San Andreas,"$473,990,832.00","$155,190,832.00",32.70%,"$318,800,000.00",67.30%
It Chapter Two,"$473,093,228.00","$211,593,228.00",44.70%,"$261,500,000.00",55.30%
Wreck-It Ralph,"$471,222,889.00","$189,422,889.00",40.20%,"$281,800,000.00",59.80%
Godzilla vs. Kong,"$470,067,014.00","$100,916,094.00",21.50%,"$369,150,920.00",78.50%
The Lego Movie,"$468,060,692.00","$257,760,692.00",55.10%,"$210,300,000.00",44.90%
Bumblebee,"$467,989,645.00","$127,195,589.00",27.20%,"$340,794,056.00",72.80%
Star Trek Into Darkness,"$467,365,246.00","$228,778,661.00",49%,"$238,586,585.00",51%
The Eight Hundred,"$461,421,559.00","$372,755.00",<0.1%,"$461,048,804.00",99.90%
Moon Man,"$460,237,662.00",-,-,"$460,237,662.00",100%
Lucy,"$458,863,600.00","$126,663,600.00",27.60%,"$332,200,000.00",72.40%
Demon Slayer the Movie: Mugen Train,"$453,210,959.00","$49,505,008.00",10.90%,"$403,705,951.00",89.10%
Dying to Survive,"$451,176,639.00",-,-,"$451,176,639.00",100%
"My People, My Country","$450,064,993.00","$2,356,683.00",0.50%,"$447,708,310.00",99.50%
Thor,"$449,326,618.00","$181,030,624.00",40.30%,"$268,295,994.00",59.70%
La La Land,"$447,407,695.00","$151,101,803.00",33.80%,"$296,305,892.00",66.20%
Les Misérables,"$442,299,309.00","$148,809,770.00",33.60%,"$293,489,539.00",66.40%
Terminator Genisys,"$440,603,537.00","$89,760,956.00",20.40%,"$350,842,581.00",79.60%
Warcraft,"$439,048,914.00","$47,365,290.00",10.80%,"$391,683,624.00",89.20%
A Star Is Born,"$436,188,866.00","$215,288,866.00",49.40%,"$220,900,000.00",50.60%
The Greatest Showman,"$434,993,183.00","$174,340,174.00",40.10%,"$260,653,009.00",59.90%
Pokémon Detective Pikachu,"$433,005,346.00","$144,105,346.00",33.30%,"$288,900,000.00",66.70%
Shang-Chi and the Legend of the Ten Rings,"$432,243,292.00","$224,543,292.00",51.90%,"$207,700,000.00",48.10%
The Secret Life of Pets 2,"$431,058,415.00","$158,874,395.00",36.90%,"$272,184,020.00",63.10%
Rampage,"$428,028,233.00","$101,028,233.00",23.60%,"$327,000,000.00",76.40%
The Intouchables,"$426,588,510.00","$10,198,820.00",2.40%,"$416,389,690.00",97.60%
Bad Boys for Life,"$426,505,244.00","$206,305,244.00",48.40%,"$220,200,000.00",51.60%
Django Unchained,"$425,368,238.00","$162,805,434.00",38.30%,"$262,562,804.00",61.70%
The King's Speech,"$423,999,102.00","$135,453,143.00",31.90%,"$288,545,959.00",68.10%
"My People, My Homeland","$422,390,820.00",-,-,"$422,390,820.00",100%
The Captain,"$417,282,021.00","$706,572.00",0.20%,"$416,575,449.00",99.80%
The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217.00","$104,386,950.00",25.10%,"$311,299,267.00",74.90%
Jason Bourne,"$415,484,914.00","$162,434,410.00",39.10%,"$253,050,504.00",60.90%
The Wolverine,"$414,828,246.00","$132,556,852.00",32%,"$282,271,394.00",68%
Kingsman: The Secret Service,"$414,351,546.00","$128,261,724.00",31%,"$286,089,822.00",69%
Pacific Rim,"$411,002,906.00","$101,802,906.00",24.80%,"$309,200,000.00",75.20%
Kingsman: The Golden Circle,"$410,902,662.00","$100,234,838.00",24.40%,"$310,667,824.00",75.60%
The Mummy,"$409,231,607.00","$80,227,895.00",19.60%,"$329,003,712.00",80.40%
Ice Age: Collision Course,"$408,579,038.00","$64,063,008.00",15.70%,"$344,516,030.00",84.30%
Sing 2,"$407,562,227.00","$162,790,990.00",39.90%,"$244,771,237.00",60.10%
Fantastic Beasts: The Secrets of Dumbledore,"$405,161,334.00","$95,850,844.00",23.70%,"$309,310,490.00",76.30%
Alita: Battle Angel,"$404,980,543.00","$85,838,210.00",21.20%,"$319,142,333.00",78.80%
Prometheus,"$403,354,469.00","$126,477,084.00",31.40%,"$276,877,385.00",68.60%
Sonic the Hedgehog 2,"$402,656,846.00","$190,872,904.00",47.40%,"$211,783,942.00",52.60%
Eternals,"$402,064,899.00","$164,870,234.00",41%,"$237,194,665.00",59%
Dune,"$401,847,900.00","$108,327,830.00",27%,"$293,520,070.00",73%
Uncharted,"$401,748,820.00","$148,648,820.00",37%,"$253,100,000.00",63%
Tron: Legacy,"$400,062,763.00","$172,062,763.00",43%,"$228,000,000.00",57%
Snow White and the Huntsman,"$396,592,829.00","$155,332,381.00",39.20%,"$241,260,448.00",60.80%
Mamma Mia! Here We Go Again,"$395,044,706.00","$120,634,935.00",30.50%,"$274,409,771.00",69.50%
Solo: A Star Wars Story,"$392,924,807.00","$213,767,512.00",54.40%,"$179,157,295.00",45.60%
The Wolf of Wall Street,"$392,000,694.00","$116,900,694.00",29.80%,"$275,100,000.00",70.20%
Black Adam,"$391,273,355.00","$167,873,355.00",42.90%,"$223,400,000.00",57.10%
Independence Day: Resurgence,"$389,681,935.00","$103,144,286.00",26.50%,"$286,537,649.00",73.50%
Monster Hunt,"$387,053,506.00","$32,766.00",<0.1%,"$387,020,740.00",100%
Godzilla: King of the Monsters,"$386,600,138.00","$110,500,138.00",28.60%,"$276,100,000.00",71.40%
Home,"$386,041,607.00","$177,397,510.00",46%,"$208,644,097.00",54%
1917,"$384,577,421.00","$159,227,644.00",41.40%,"$225,349,777.00",58.60%
Cars 3,"$383,930,656.00","$152,901,115.00",39.80%,"$231,029,541.00",60.20%
Fifty Shades Darker,"$381,545,846.00","$114,581,250.00",30%,"$266,964,596.00",70%
Black Widow,"$379,751,655.00","$183,651,655.00",48.40%,"$196,100,000.00",51.60%
Once Upon a Time in Hollywood,"$377,426,903.00","$142,502,728.00",37.80%,"$234,924,175.00",62.20%
Taken 2,"$376,141,306.00","$139,854,287.00",37.20%,"$236,287,019.00",62.80%
G.I. Joe: Retaliation,"$375,740,705.00","$122,523,060.00",32.60%,"$253,217,645.00",67.40%
Spider-Man: Into the Spider-Verse,"$375,540,831.00","$190,241,310.00",50.70%,"$185,299,521.00",49.30%
Mad Max: Fury Road,"$374,736,354.00","$153,636,354.00",41%,"$221,100,000.00",59%
The Adventures of Tintin,"$373,993,951.00","$77,591,831.00",20.70%,"$296,402,120.00",79.30%
Penguins of Madagascar,"$373,515,621.00","$83,850,911.00",22.40%,"$289,664,710.00",77.60%
Fifty Shades Freed,"$371,985,018.00","$100,407,760.00",27%,"$271,577,258.00",73%
Captain America: The First Avenger,"$370,569,774.00","$176,654,505.00",47.70%,"$193,915,269.00",52.30%
Edge of Tomorrow,"$370,541,256.00","$100,206,256.00",27%,"$270,335,000.00",73%
Gone Girl,"$369,330,363.00","$167,767,189.00",45.40%,"$201,563,174.00",54.60%
Hello Mr. Billionaire,"$366,961,907.00",-,-,"$366,961,907.00",100%
Shazam!,"$365,971,656.00","$140,371,656.00",38.40%,"$225,600,000.00",61.60%
The Nun,"$365,550,119.00","$117,450,119.00",32.10%,"$248,100,000.00",67.90%
Tenet,"$365,294,355.00","$58,504,105.00",16%,"$306,790,250.00",84%
Night at the Museum: Secret of the Tomb,"$363,204,635.00","$113,746,621.00",31.30%,"$249,458,014.00",68.70%
The Hangover Part III,"$362,000,072.00","$112,200,072.00",31%,"$249,800,000.00",69%
Monster Hunt 2,"$361,682,618.00","$706,153.00",0.20%,"$360,976,465.00",99.80%
Noah,"$359,200,044.00","$101,200,044.00",28.20%,"$258,000,000.00",71.80%
The Karate Kid,"$359,126,022.00","$176,591,618.00",49.20%,"$182,534,404.00",50.80%
Hotel Transylvania,"$358,375,603.00","$148,313,048.00",41.40%,"$210,062,555.00",58.60%
Your Name.,"$357,986,087.00","$5,017,246.00",1.40%,"$352,968,841.00",98.60%
The Legend of Tarzan,"$356,700,357.00","$126,643,061.00",35.50%,"$230,057,296.00",64.50%
The Great Gatsby,"$353,641,895.00","$144,840,419.00",41%,"$208,801,476.00",59%
Dumbo,"$353,284,621.00","$114,766,307.00",32.50%,"$238,518,314.00",67.50%
Murder on the Orient Express,"$352,789,811.00","$102,826,543.00",29.10%,"$249,963,268.00",70.90%
X-Men: First Class,"$352,616,690.00","$146,408,305.00",41.50%,"$206,208,385.00",58.50%
The Angry Birds Movie,"$352,333,929.00","$107,509,366.00",30.50%,"$244,824,563.00",69.50%
Now You See Me,"$351,723,989.00","$117,723,989.00",33.50%,"$234,000,000.00",66.50%
Peter Rabbit,"$351,266,433.00","$115,253,424.00",32.80%,"$236,013,009.00",67.20%
Titanic 2012 3D Release,"$350,449,521.00","$57,884,114.00",16.50%,"$292,565,407.00",83.50%
Mary Poppins Returns,"$349,537,494.00","$171,958,438.00",49.20%,"$177,579,056.00",50.80%
The Lorax,"$348,840,316.00","$214,030,500.00",61.40%,"$134,809,816.00",38.60%
The Maze Runner,"$348,319,861.00","$102,427,862.00",29.40%,"$245,891,999.00",70.60%
The Smurfs 2,"$347,545,360.00","$71,017,784.00",20.40%,"$276,527,576.00",79.60%
Trolls,"$346,864,462.00","$153,707,064.00",44.30%,"$193,157,398.00",55.70%
xXx: Return of Xander Cage,"$346,118,277.00","$44,898,413.00",13%,"$301,219,864.00",87%
Star Trek Beyond,"$343,471,816.00","$158,848,340.00",46.20%,"$184,623,476.00",53.80%
Alvin and the Chipmunks: Chipwrecked,"$342,695,435.00","$133,110,742.00",38.80%,"$209,584,693.00",61.20%
A Quiet Place,"$340,939,361.00","$188,024,361.00",55.10%,"$152,915,000.00",44.90%
300: Rise of an Empire,"$337,580,051.00","$106,580,051.00",31.60%,"$231,000,000.00",68.40%
Journey 2: The Mysterious Island,"$335,260,290.00","$103,860,290.00",31%,"$231,400,000.00",69%
The Great Wall,"$334,933,831.00","$45,540,830.00",13.60%,"$289,393,001.00",86.40%
Now You See Me 2,"$334,897,606.00","$65,075,540.00",19.40%,"$269,822,066.00",80.60%
Never Say Die,"$334,530,869.00",-,-,"$334,530,869.00",100%
The Good Dinosaur,"$332,207,671.00","$123,087,120.00",37.10%,"$209,120,551.00",62.90%
Free Guy,"$331,526,598.00","$121,626,598.00",36.70%,"$209,900,000.00",63.30%
22 Jump Street,"$331,333,876.00","$191,719,337.00",57.90%,"$139,614,539.00",42.10%
Black Swan,"$329,398,046.00","$106,954,678.00",32.50%,"$222,443,368.00",67.50%
John Wick: Chapter 3 - Parabellum,"$327,777,335.00","$171,015,687.00",52.20%,"$156,761,648.00",47.80%
Crazy Alien,"$327,598,891.00",-,-,"$327,598,891.00",100%
Taken 3,"$326,479,141.00","$89,256,424.00",27.30%,"$237,222,717.00",72.70%
The SpongeBob Movie: Sponge Out of Water,"$325,186,032.00","$162,994,032.00",50.10%,"$162,192,000.00",49.90%
Megamind,"$321,885,765.00","$148,415,853.00",46.10%,"$173,469,912.00",53.90%
Green Book,"$321,752,656.00","$85,080,171.00",26.40%,"$236,672,485.00",73.60%
